Unnamed: 0,image_id,path,diag,target,Class,_image_id_norm,_class_norm,local_path
10,Tumor- (1724),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1724).jpg",Tumor,3,Tumor,Tumor- (1724),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1724).jpg
11,Tumor- (2077),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (2077).jpg",Tumor,3,Tumor,Tumor- (2077),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (2077).jpg
12,Tumor- (2240),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (2240).jpg",Tumor,3,Tumor,Tumor- (2240),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (2240).jpg
13,Tumor- (389),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (389).jpg",Tumor,3,Tumor,Tumor- (389),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (389).jpg
14,Tumor- (1616),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1616).jpg",Tumor,3,Tumor,Tumor- (1616),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1616).jpg
15,Tumor- (911),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (911).jpg",Tumor,3,Tumor,Tumor- (911),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (911).jpg
16,Tumor- (1178),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1178).jpg",Tumor,3,Tumor,Tumor- (1178),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1178).jpg
17,Tumor- (186),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (186).jpg",Tumor,3,Tumor,Tumor- (186),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (186).jpg
18,Tumor- (1599),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1599).jpg",Tumor,3,Tumor,Tumor- (1599),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1599).jpg
19,Tumor- (496),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (496).jpg",Tumor,3,Tumor,Tumor- (496),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (496).jpg
20,Tumor- (193),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (193).jpg",Tumor,3,Tumor,Tumor- (193),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (193).jpg
21,Tumor- (1305),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1305).jpg",Tumor,3,Tumor,Tumor- (1305),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1305).jpg
22,Tumor- (1189),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1189).jpg",Tumor,3,Tumor,Tumor- (1189),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1189).jpg
23,Tumor- (2151),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (2151).jpg",Tumor,3,Tumor,Tumor- (2151),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (2151).jpg
24,Tumor- (637),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (637).jpg",Tumor,3,Tumor,Tumor- (637),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (637).jpg
25,Tumor- (1232),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1232).jpg",Tumor,3,Tumor,Tumor- (1232),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1232).jpg
26,Tumor- (22),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (22).jpg",Tumor,3,Tumor,Tumor- (22),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (22).jpg
27,Tumor- (1266),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1266).jpg",Tumor,3,Tumor,Tumor- (1266),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1266).jpg
28,Tumor- (602),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (602).jpg",Tumor,3,Tumor,Tumor- (602),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (602).jpg
29,Tumor- (1440),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1440).jpg",Tumor,3,Tumor,Tumor- (1440),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1440).jpg
30,Tumor- (2214),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (2214).jpg",Tumor,3,Tumor,Tumor- (2214),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (2214).jpg
31,Tumor- (1418),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1418).jpg",Tumor,3,Tumor,Tumor- (1418),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1418).jpg
32,Tumor- (2130),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (2130).jpg",Tumor,3,Tumor,Tumor- (2130),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (2130).jpg
33,Tumor- (237),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (237).jpg",Tumor,3,Tumor,Tumor- (237),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (237).jpg
34,Tumor- (358),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (358).jpg",Tumor,3,Tumor,Tumor- (358),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (358).jpg
35,Tumor- (1668),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1668).jpg",Tumor,3,Tumor,Tumor- (1668),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1668).jpg
36,Tumor- (235),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (235).jpg",Tumor,3,Tumor,Tumor- (235),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (235).jpg
37,Tumor- (633),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (633).jpg",Tumor,3,Tumor,Tumor- (633),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (633).jpg
38,Tumor- (550),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (550).jpg",Tumor,3,Tumor,Tumor- (550),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (550).jpg
39,Tumor- (960),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (960).jpg",Tumor,3,Tumor,Tumor- (960),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (960).jpg
40,Tumor- (698),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (698).jpg",Tumor,3,Tumor,Tumor- (698),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (698).jpg
41,Tumor- (176),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (176).jpg",Tumor,3,Tumor,Tumor- (176),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (176).jpg
42,Tumor- (359),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (359).jpg",Tumor,3,Tumor,Tumor- (359),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (359).jpg
43,Tumor- (882),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (882).jpg",Tumor,3,Tumor,Tumor- (882),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (882).jpg
44,Tumor- (982),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (982).jpg",Tumor,3,Tumor,Tumor- (982),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (982).jpg
45,Tumor- (1588),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1588).jpg",Tumor,3,Tumor,Tumor- (1588),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1588).jpg
46,Tumor- (735),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (735).jpg",Tumor,3,Tumor,Tumor- (735),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (735).jpg
47,Tumor- (1970),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1970).jpg",Tumor,3,Tumor,Tumor- (1970),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1970).jpg
48,Tumor- (1787),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1787).jpg",Tumor,3,Tumor,Tumor- (1787),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1787).jpg
49,Tumor- (2159),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (2159).jpg",Tumor,3,Tumor,Tumor- (2159),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (2159).jpg
50,Tumor- (1469),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1469).jpg",Tumor,3,Tumor,Tumor- (1469),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1469).jpg
51,Tumor- (273),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (273).jpg",Tumor,3,Tumor,Tumor- (273),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (273).jpg
52,Tumor- (96),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (96).jpg",Tumor,3,Tumor,Tumor- (96),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (96).jpg
53,Tumor- (1344),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1344).jpg",Tumor,3,Tumor,Tumor- (1344),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1344).jpg
54,Tumor- (497),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (497).jpg",Tumor,3,Tumor,Tumor- (497),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (497).jpg
55,Tumor- (996),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (996).jpg",Tumor,3,Tumor,Tumor- (996),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (996).jpg
56,Tumor- (1913),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1913).jpg",Tumor,3,Tumor,Tumor- (1913),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1913).jpg
57,Tumor- (1912),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1912).jpg",Tumor,3,Tumor,Tumor- (1912),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1912).jpg
58,Tumor- (1496),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1496).jpg",Tumor,3,Tumor,Tumor- (1496),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1496).jpg
59,Tumor- (1069),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1069).jpg",Tumor,3,Tumor,Tumor- (1069),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1069).jpg
60,Tumor- (1631),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1631).jpg",Tumor,3,Tumor,Tumor- (1631),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1631).jpg
61,Tumor- (940),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (940).jpg",Tumor,3,Tumor,Tumor- (940),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (940).jpg
62,Tumor- (1793),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1793).jpg",Tumor,3,Tumor,Tumor- (1793),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1793).jpg
63,Tumor- (84),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (84).jpg",Tumor,3,Tumor,Tumor- (84),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (84).jpg
64,Tumor- (1914),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1914).jpg",Tumor,3,Tumor,Tumor- (1914),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1914).jpg
65,Tumor- (2119),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (2119).jpg",Tumor,3,Tumor,Tumor- (2119),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (2119).jpg
66,Tumor- (139),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (139).jpg",Tumor,3,Tumor,Tumor- (139),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (139).jpg
67,Tumor- (455),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (455).jpg",Tumor,3,Tumor,Tumor- (455),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (455).jpg
68,Tumor- (1071),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1071).jpg",Tumor,3,Tumor,Tumor- (1071),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (1071).jpg
69,Tumor- (428),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (428).jpg",Tumor,3,Tumor,Tumor- (428),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (428).jpg
70,Tumor- (708),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (708).jpg",Tumor,3,Tumor,Tumor- (708),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (708).jpg
71,Tumor- (2018),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (2018).jpg",Tumor,3,Tumor,Tumor- (2018),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (2018).jpg
72,Tumor- (924),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (924).jpg",Tumor,3,Tumor,Tumor- (924),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (924).jpg
73,Tumor- (121),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (121).jpg",Tumor,3,Tumor,Tumor- (121),Tumor,E:\kidney-main\dataset\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\CT-KIDNEY-DATASET-Normal-Cyst-Tumor-Stone\Tumor\Tumor- (121).jpg
